product_id,product_name,action_needed,parse_error,edit_url
11472,Genuine Toyota Hilux 1KD Injector 23670-30400 - Upgrade Your Ride,Add content,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11472&action=edit
11557,1KD Injector Seat Kit for Toyota Hilux- 11176-0L011-96721-19017-90904-30013,Add content,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11557&action=edit
11560,High-Quality 1KD Euro 3 Fuel Lines for Toyota Hilux,Add content,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11560&action=edit
12117,Hyundai Suction Control Valve SCV | Part No. 33130-45700,Add content,No structured fitment data found,https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12117&action=edit
12120,Genuine Hilux Fuel Lines to suit 1KD Euro 4,Add content,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12120&action=edit
12123,"Genuine Diesel Fuel Injectors A2C59517051, BK2Q-9K546-AG for P4AT and P5AT Engines",Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12123&action=edit
12127,Genuine Diesel Fuel Injectors CK4Q-9K546-AA for Ford Ranger & Mazda BT50 - A2C8139490080,Empty,Fitment field is empty,https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12127&action=edit
12141,"Genuine Diesel Injectors for Isuzu MUX & Dmax - 095000-8340, 8981066931",Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12141&action=edit
12437,Ford Ranger P5AT Fuel Lines | Genuine Ford & Mazda Injector Lines,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12437&action=edit
12852,8976097887 Injector for Isuzu 4HK1 & 6HK1 Engines - Brand New,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12852&action=edit
12870,P5AT Suction Control Valve A2C9318740080 / BK2Q-3958-AA,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12870&action=edit
13653,16600-00Q2K Nissan NP300 Injectors,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=13653&action=edit
13677,1VD Piezo Injector Testing & Targeted Replacement – A Cost-Effective Solution,Empty,Fitment field is empty,https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=13677&action=edit
13785,ZD30CRD Injectors - Genuine + New Bosch,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=13785&action=edit
13795,105 Series Injectors for 1HZ - Brand New Genuine 093500-6890 23600-19075,Reformat,No structured fitment data (unstructured text),https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=13795&action=edit
14021,1KD Hilux +30 Nozzle Kit,Empty,Fitment field is empty,https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=14021&action=edit
15596,Denso 294000-1210 Common Rail Fuel Pump – Suits Isuzu D-MAX / Holden Colorado & Rodeo 4JJ1-TC Engines (2007–2020),Empty,Fitment field is empty,https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=15596&action=edit
